ac_no,ac_name,ac_type,pc_no,pc_name,pc_type,district
1,Gossaigaon,,1,Kokrajhar,ST,Kokrajhar
2,Dotma,ST,1,Kokrajhar,ST,Kokrajhar
3,Kokrajhar,ST,1,Kokrajhar,ST,Kokrajhar
4,Baokhungri,,1,Kokrajhar,ST,Kokrajhar
5,Parbatjhora,,1,Kokrajhar,ST,Kokrajhar
6,Golakganj,,2,Dhubri,,Dhubri
7,Gauripur,,2,Dhubri,,Dhubri
8,Dhubri,,2,Dhubri,,Dhubri
9,Birsing Jarua,,2,Dhubri,,Dhubri
10,Bilasipara,,2,Dhubri,,Dhubri
11,Mankachar,,2,Dhubri,,South Salmara
12,Jaleshwar,,2,Dhubri,,Goalpara
13,Goalpara West,ST,5,Guwahati,,Goalpara
14,Goalpara East,,2,Dhubri,,Goalpara
15,Dudhnai,ST,5,Guwahati,,Goalpara
16,Abhayapuri,,3,Barpeta,,Bongaigaon
17,Srijangram,,2,Dhubri,,Bongaigaon
18,Bongaigaon,,3,Barpeta,,Bongaigaon
19,Sidli Chirang,ST,1,Kokrajhar,ST,Chirang
20,Bijni,,1,Kokrajhar,ST,Chirang
21,Bhowanipur-Sorbhog,,3,Barpeta,,Barpeta
22,Mandia,,2,Dhubri,,Barpeta
23,Chenga,,2,Dhubri,,Barpeta
24,Barpeta,SC,3,Barpeta,,Barpeta
25,Pakabetbari,,3,Barpeta,,Barpeta
26,Bajali,,3,Barpeta,,Barpeta
27,Chamaria,,5,Guwahati,,Kamrup
28,Boko-Chaygaon,ST,5,Guwahati,,Kamrup
29,Palasbari,,5,Guwahati,,Kamrup
30,Hajo-Sualkuchi,SC,3,Barpeta,,Kamrup
31,Rangia,,4,Darrang-Udalguri,,Kamrup
32,Kamalpur,,4,Darrang-Udalguri,,Kamrup
33,Dispur,,5,Guwahati,,Kamrup (Metro.)
34,Dimoria,SC,5,Guwahati,,Kamrup (Metro.)
35,New Guwahati,,5,Guwahati,,Kamrup (Metro.)
36,Guwahati Central,,5,Guwahati,,Kamrup (Metro.)
37,Jalukbari,,5,Guwahati,,Kamrup (Metro.)
